,area_fips,area_title_2020,agglvl_title_2020,annual_avg_estabs_count_2020,annual_avg_emplvl_2020,total_annual_wages_2020,taxable_annual_wages_2020,annual_contributions_2020,annual_avg_wkly_wage_2020,avg_annual_pay_2020,oty_annual_avg_estabs_count_chg_2020,oty_annual_avg_estabs_count_pct_chg_2020,oty_annual_avg_emplvl_chg_2020,oty_annual_avg_emplvl_pct_chg_2020,oty_total_annual_wages_chg_2020,oty_total_annual_wages_pct_chg_2020,oty_taxable_annual_wages_chg_2020,oty_taxable_annual_wages_pct_chg_2020,oty_annual_contributions_chg_2020,oty_annual_contributions_pct_chg_2020,oty_annual_avg_wkly_wage_chg_2020,oty_annual_avg_wkly_wage_pct_chg_2020,oty_avg_annual_pay_chg_2020,oty_avg_annual_pay_pct_chg_2020,area_title_2021,agglvl_title_2021,annual_avg_estabs_count_2021,annual_avg_emplvl_2021,total_annual_wages_2021,taxable_annual_wages_2021,annual_contributions_2021,annual_avg_wkly_wage_2021,avg_annual_pay_2021,oty_annual_avg_estabs_count_chg_2021,oty_annual_avg_estabs_count_pct_chg_2021,oty_annual_avg_emplvl_chg_2021,oty_annual_avg_emplvl_pct_chg_2021,oty_total_annual_wages_chg_2021,oty_total_annual_wages_pct_chg_2021,oty_taxable_annual_wages_chg_2021,oty_taxable_annual_wages_pct_chg_2021,oty_annual_contributions_chg_2021,oty_annual_contributions_pct_chg_2021,oty_annual_avg_wkly_wage_chg_2021,oty_annual_avg_wkly_wage_pct_chg_2021,oty_avg_annual_pay_chg_2021,oty_avg_annual_pay_pct_chg_2021,area_title_2022,agglvl_title_2022,annual_avg_estabs_count_2022,annual_avg_emplvl_2022,total_annual_wages_2022,taxable_annual_wages_2022,annual_contributions_2022,annual_avg_wkly_wage_2022,avg_annual_pay_2022,oty_annual_avg_estabs_count_chg_2022,oty_annual_avg_estabs_count_pct_chg_2022,oty_annual_avg_emplvl_chg_2022,oty_annual_avg_emplvl_pct_chg_2022,oty_total_annual_wages_chg_2022,oty_total_annual_wages_pct_chg_2022,oty_taxable_annual_wages_chg_2022,oty_taxable_annual_wages_pct_chg_2022,oty_annual_contributions_chg_2022,oty_annual_contributions_pct_chg_2022,oty_annual_avg_wkly_wage_chg_2022,oty_annual_avg_wkly_wage_pct_chg_2022,oty_avg_annual_pay_chg_2022,oty_avg_annual_pay_pct_chg_2022
10,1019,"Cherokee County, Alabama","County, Total Covered",421,4956,180982942,38697931,478398,702,36520,9,2.2,-262,-5.0,-2815792,-1.5,-536446,-1.4,-75904,-13.7,25,3.7,1294,3.7,"Cherokee County, Alabama","County, Total Covered",434,5202,201449550,41725537,711953,745,38724,13,3.1,246,5.0,20466608,11.3,3027606,7.8,233555,48.8,43,6.1,2204,6.0,"Cherokee County, Alabama","County, Total Covered",457,5233,219074852,43960566,586499,805,41865,23,5.3,31,0.6,17625302,8.7,2235029,5.4,-125454,-17.6,60,8.1,3141,8.1
11,1021,"Chilton County, Alabama","County, Total Covered",832,9007,370463328,70255881,736313,791,41132,14,1.7,-544,-5.7,-2873730,-0.8,-1550724,-2.2,-34332,-4.5,39,5.2,2044,5.2,"Chilton County, Alabama","County, Total Covered",835,9070,388461292,71133607,1122584,824,42831,3,0.4,63,0.7,17997964,4.9,877726,1.2,386271,52.5,33,4.2,1699,4.1,"Chilton County, Alabama","County, Total Covered",856,9047,401739593,72107736,927356,854,44408,21,2.5,-23,-0.3,13278301,3.4,974129,1.4,-195228,-17.4,30,3.6,1577,3.7
12,1023,"Choctaw County, Alabama","County, Total Covered",328,3514,190415952,29534894,298755,1042,54183,4,1.2,-139,-3.8,184088,0.1,-2255626,-7.1,-271773,-47.6,40,4.0,2102,4.0,"Choctaw County, Alabama","County, Total Covered",346,3552,196197950,31958531,592683,1062,55231,18,5.5,38,1.1,5781998,3.0,2423637,8.2,293928,98.4,20,1.9,1048,1.9,"Choctaw County, Alabama","County, Total Covered",365,3401,189100171,29715431,510322,1069,55605,19,5.5,-151,-4.3,-7097779,-3.6,-2243100,-7.0,-82361,-13.9,7,0.7,374,0.7
13,1025,"Clarke County, Alabama","County, Total Covered",676,7841,338460166,61106216,651176,830,43166,16,2.4,-126,-1.6,7727398,2.3,1419428,2.4,-22003,-3.3,32,4.0,1655,4.0,"Clarke County, Alabama","County, Total Covered",703,8063,371308313,63695985,972394,886,46049,27,4.0,222,2.8,32848147,9.7,2589769,4.2,321218,49.3,56,6.7,2883,6.7,"Clarke County, Alabama","County, Total Covered",743,8180,394951346,65699937,779002,928,48280,40,5.7,117,1.5,23643033,6.4,2003952,3.1,-193392,-19.9,42,4.7,2231,4.8
14,1027,"Clay County, Alabama","County, Total Covered",221,4251,161421190,34164598,353628,730,37977,2,0.9,-46,-1.1,8607860,5.6,304113,0.9,15067,4.5,46,6.7,2412,6.8,"Clay County, Alabama","County, Total Covered",233,4243,171197489,35039210,544317,776,40347,12,5.4,-8,-0.2,9776299,6.1,874612,2.6,190689,53.9,46,6.3,2370,6.2,"Clay County, Alabama","County, Total Covered",234,4359,181147445,36999267,411766,799,41553,1,0.4,116,2.7,9949956,5.8,1960057,5.6,-132551,-24.4,23,3.0,1206,3.0
15,1029,"Cleburne County, Alabama","County, Total Covered",235,2104,98735287,14914389,240297,903,46935,2,0.9,53,2.6,10537275,11.9,482300,3.3,17347,7.8,76,9.2,3922,9.1,"Cleburne County, Alabama","County, Total Covered",254,2225,114319626,17847858,367528,988,51380,19,8.1,121,5.8,15584339,15.8,2933469,19.7,127231,52.9,85,9.4,4445,9.5,"Cleburne County, Alabama","County, Total Covered",278,2440,128090834,19325270,310802,1010,52505,24,9.4,215,9.7,13771208,12.0,1477412,8.3,-56726,-15.4,22,2.2,1125,2.2
16,1031,"Coffee County, Alabama","County, Total Covered",1070,15899,604992536,135349596,1360643,732,38052,-1,-0.1,-505,-3.1,24292705,4.2,1782401,1.3,-100143,-6.9,51,7.5,2652,7.5,"Coffee County, Alabama","County, Total Covered",1145,16430,662813138,144368849,2213285,776,40342,75,7.0,531,3.3,57820602,9.6,9019253,6.7,852642,62.7,44,6.0,2290,6.0,"Coffee County, Alabama","County, Total Covered",1235,16566,713509771,145604286,1721936,828,43070,90,7.9,136,0.8,50696633,7.6,1235437,0.9,-491349,-22.2,52,6.7,2728,6.8
17,1033,"Colbert County, Alabama","County, Total Covered",1372,23145,1112498553,189088856,2706899,924,48066,34,2.5,-1107,-4.6,19845827,1.8,1920844,1.0,-40271,-1.5,58,6.7,3012,6.7,"Colbert County, Alabama","County, Total Covered",1422,23434,1199381889,197462977,3622905,984,51181,50,3.6,289,1.2,86883336,7.8,8374121,4.4,916006,33.8,60,6.5,3115,6.5,"Colbert County, Alabama","County, Total Covered",1485,24107,1329816397,205228855,2782808,1061,55164,63,4.4,673,2.9,130434508,10.9,7765878,3.9,-840097,-23.2,77,7.8,3983,7.8
18,1035,"Conecuh County, Alabama","County, Total Covered",253,3291,129742800,25733925,328440,758,39425,-2,-0.8,-140,-4.1,2060802,1.6,-965101,-3.6,-51332,-13.5,42,5.9,2207,5.9,"Conecuh County, Alabama","County, Total Covered",266,3239,136142226,26994079,441642,808,42038,13,5.1,-52,-1.6,6399426,4.9,1260154,4.9,113202,34.5,50,6.6,2613,6.6,"Conecuh County, Alabama","County, Total Covered",274,3150,137083611,25305390,310693,837,43524,8,3.0,-89,-2.7,941385,0.7,-1688689,-6.3,-130949,-29.7,29,3.6,1486,3.5
19,1037,"Coosa County, Alabama","County, Total Covered",138,1307,51981551,9344457,95235,765,39779,10,7.8,-134,-9.3,-273999,-0.5,-901067,-8.8,-42248,-30.7,68,9.8,3511,9.7,"Coosa County, Alabama","County, Total Covered",148,1317,55940995,9918757,170331,817,42481,10,7.2,10,0.8,3959444,7.6,574300,6.1,75096,78.9,52,6.8,2702,6.8,"Coosa County, Alabama","County, Total Covered",153,1448,70485217,12273322,203988,936,48666,5,3.4,131,9.9,14544222,26.0,2354565,23.7,33657,19.8,119,14.6,6185,14.6
20,1039,"Covington County, Alabama","County, Total Covered",921,11587,458318347,89258798,1434466,761,39553,8,0.9,-653,-5.3,6426212,1.4,-4369805,-4.7,-399575,-21.8,51,7.2,2635,7.1,"Covington County, Alabama","County, Total Covered",969,11868,490847132,95302355,1724779,795,41361,48,5.2,281,2.4,32528785,7.1,6043557,6.8,290313,20.2,34,4.5,1808,4.6,"Covington County, Alabama","County, Total Covered",1008,11925,515480075,95350446,1381317,831,43225,39,4.0,57,0.5,24632943,5.0,48091,0.1,-343462,-19.9,36,4.5,1864,4.5
21,1041,"Crenshaw County, Alabama","County, Total Covered",277,3426,136707609,29320596,444130,767,39904,14,5.3,-316,-8.4,-7618865,-5.3,-2299074,-7.3,-140088,-24.0,25,3.4,1336,3.5,"Crenshaw County, Alabama","County, Total Covered",286,3343,138147840,27065510,618250,795,41328,9,3.2,-83,-2.4,1440231,1.1,-2255086,-7.7,174120,39.2,28,3.7,1424,3.6,"Crenshaw County, Alabama","County, Total Covered",293,3244,145323360,25788470,420257,861,44793,7,2.4,-99,-3.0,7175520,5.2,-1277040,-4.7,-197993,-32.0,66,8.3,3465,8.4
22,1043,"Cullman County, Alabama","County, Total Covered",1883,28128,1197750995,241096508,2339907,819,42582,23,1.2,-854,-2.9,39604210,3.4,6529802,2.8,43283,1.9,51,6.6,2621,6.6,"Cullman County, Alabama","County, Total Covered",1963,29111,1314076950,249310250,3787024,868,45140,80,4.2,983,3.5,116325955,9.7,8213742,3.4,1447117,61.8,49,6.0,2558,6.0,"Cullman County, Alabama","County, Total Covered",2105,30056,1456361549,263684021,3239208,932,48456,142,7.2,945,3.2,142284599,10.8,14373771,5.8,-547816,-14.5,64,7.4,3316,7.3
23,1045,"Dale County, Alabama","County, Total Covered",891,16925,967952791,109041277,1103215,1100,57192,15,1.7,-305,-1.8,34316840,3.7,-4908848,-4.3,-122015,-10.0,58,5.6,3006,5.5,"Dale County, Alabama","County, Total Covered",937,17324,1009161774,118547443,1752089,1120,58252,46,5.2,399,2.4,41208983,4.3,9506166,8.7,648874,58.8,20,1.8,1060,1.9,"Dale County, Alabama","County, Total Covered",1013,17619,1055140021,120322842,1336253,1152,59885,76,8.1,295,1.7,45978247,4.6,1775399,1.5,-415836,-23.7,32,2.9,1633,2.8
24,1047,"Dallas County, Alabama","County, Total Covered",859,11316,481645995,88002125,1278842,819,42565,0,0.0,-885,-7.3,-5978316,-1.2,-6378491,-6.8,-307259,-19.4,50,6.5,2599,6.5,"Dallas County, Alabama","County, Total Covered",877,11258,482785962,88168204,1764271,825,42886,18,2.1,-58,-0.5,1139967,0.2,166079,0.2,485429,38.0,6,0.7,321,0.8,"Dallas County, Alabama","County, Total Covered",913,11479,506563168,91867072,1513420,849,44128,36,4.1,221,2.0,23777206,4.9,3698868,4.2,-250851,-14.2,24,2.9,1242,2.9
25,1049,"DeKalb County, Alabama","County, Total Covered",1242,21501,878221629,185113581,1998011,785,40846,34,2.8,-881,-3.9,22584071,2.6,-2790199,-1.5,-203386,-9.2,50,6.8,2616,6.8,"DeKalb County, Alabama","County, Total Covered",1307,22099,962750969,195360577,2940902,838,43566,65,5.2,598,2.8,84529340,9.6,10246996,5.5,942891,47.2,53,6.8,2720,6.7,"DeKalb County, Alabama","County, Total Covered",1380,22347,1041470178,198682505,2275257,896,46606,73,5.6,248,1.1,78719209,8.2,3321928,1.7,-665645,-22.6,58,6.9,3040,7.0
26,1051,"Elmore County, Alabama","County, Total Covered",1448,19290,731078612,144542902,1444169,729,37900,33,2.3,-602,-3.0,-1540357,-0.2,-4316931,-2.9,-71285,-4.7,21,3.0,1071,2.9,"Elmore County, Alabama","County, Total Covered",1529,19794,781725736,153536410,2301209,759,39493,81,5.6,504,2.6,50647124,6.9,8993508,6.2,857040,59.3,30,4.1,1593,4.2,"Elmore County, Alabama","County, Total Covered",1618,19977,844084645,156495024,1776182,813,42253,89,5.8,183,0.9,62358909,8.0,2958614,1.9,-525027,-22.8,54,7.1,2760,7.0
27,1053,"Escambia County, Alabama","County, Total Covered",837,12270,529427777,94325740,987759,830,43150,4,0.5,-605,-4.7,5945554,1.1,-3866925,-3.9,-186529,-15.9,48,6.1,2491,6.1,"Escambia County, Alabama","County, Total Covered",871,12183,555347569,95174482,1411890,877,45583,34,4.1,-87,-0.7,25919792,4.9,848742,0.9,424131,42.9,47,5.7,2433,5.6,"Escambia County, Alabama","County, Total Covered",908,12510,610167486,100301386,1198942,938,48776,37,4.2,327,2.7,54819917,9.9,5126904,5.4,-212948,-15.1,61,7.0,3193,7.0
28,1055,"Etowah County, Alabama","County, Total Covered",2095,32042,1318061158,281195468,2941156,791,41136,-23,-1.1,-3575,-10.0,-24764640,-1.8,-14186538,-4.8,-329758,-10.1,66,9.1,3435,9.1,"Etowah County, Alabama","County, Total Covered",2201,31692,1321628128,276451501,4530516,802,41702,106,5.1,-350,-1.1,3566970,0.3,-4743967,-1.7,1589360,54.0,11,1.4,566,1.4,"Etowah County, Alabama","County, Total Covered",2266,32084,1405881471,287022037,3643666,843,43818,65,3.0,392,1.2,84253343,6.4,10570536,3.8,-886850,-19.6,41,5.1,2116,5.1
29,1057,"Fayette County, Alabama","County, Total Covered",346,3892,139492738,26318850,350502,689,35845,5,1.5,-111,-2.8,1593988,1.2,106758,0.4,5379,1.6,27,4.1,1398,4.1,"Fayette County, Alabama","County, Total Covered",352,4003,149431230,28820047,528201,718,37327,6,1.7,111,2.9,9938492,7.1,2501197,9.5,177699,50.7,29,4.2,1482,4.1,"Fayette County, Alabama","County, Total Covered",362,3924,154511837,28473018,360554,757,39379,10,2.8,-79,-2.0,5080607,3.4,-347029,-1.2,-167647,-31.7,39,5.4,2052,5.5
30,1059,"Franklin County, Alabama","County, Total Covered",597,10678,417227725,85784732,900533,751,39074,-4,-0.7,-414,-3.7,5670905,1.4,-2460318,-2.8,40949,4.8,37,5.2,1968,5.3,"Franklin County, Alabama","County, Total Covered",612,10701,441592871,90086743,1410733,794,41267,15,2.5,23,0.2,24365146,5.8,4302011,5.0,510200,56.7,43,5.7,2193,5.6,"Franklin County, Alabama","County, Total Covered",643,11002,501729796,92399095,1342419,877,45606,31,5.1,301,2.8,60136925,13.6,2312352,2.6,-68314,-4.8,83,10.5,4339,10.5
31,1061,"Geneva County, Alabama","County, Total Covered",516,5092,178474397,40249401,416394,674,35047,14,2.8,-18,-0.4,5832931,3.4,-67473,-0.2,-24358,-5.5,24,3.7,1260,3.7,"Geneva County, Alabama","County, Total Covered",545,5115,187004843,41470003,641609,703,36563,29,5.6,23,0.5,8530446,4.8,1220602,3.0,225215,54.1,29,4.3,1516,4.3,"Geneva County, Alabama","County, Total Covered",585,5356,208905547,45475678,524564,750,39003,40,7.3,241,4.7,21900704,11.7,4005675,9.7,-117045,-18.2,47,6.7,2440,6.7
32,1063,"Greene County, Alabama","County, Total Covered",165,1834,66533778,12160798,154881,698,36280,2,1.2,60,3.4,4533527,7.3,-1036020,-7.9,-49728,-24.3,26,3.9,1329,3.8,"Greene County, Alabama","County, Total Covered",169,1793,70050619,13777583,308353,751,39062,4,2.4,-41,-2.2,3516841,5.3,1616785,13.3,153472,99.1,53,7.6,2782,7.7,"Greene County, Alabama","County, Total Covered",171,1674,68643173,12333117,178378,789,41016,2,1.2,-119,-6.6,-1407446,-2.0,-1444466,-10.5,-129975,-42.2,38,5.1,1954,5.0
33,1065,"Hale County, Alabama","County, Total Covered",288,2530,104225107,16530145,176701,792,41200,1,0.3,-145,-5.4,3041221,3.0,-640871,-3.7,-13121,-6.9,64,8.8,3368,8.9,"Hale County, Alabama","County, Total Covered",299,2532,108591084,17295704,260452,825,42886,11,3.8,2,0.1,4365977,4.2,765559,4.6,83751,47.4,33,4.2,1686,4.1,"Hale County, Alabama","County, Total Covered",307,2547,116597733,18083580,206646,880,45778,8,2.7,15,0.6,8006649,7.4,787876,4.6,-53806,-20.7,55,6.7,2892,6.7
34,1067,"Henry County, Alabama","County, Total Covered",356,3536,169449331,27922178,267327,922,47920,13,3.8,154,4.6,20955891,14.1,1080697,4.0,6806,2.6,78,9.2,4016,9.1,"Henry County, Alabama","County, Total Covered",366,3600,177055347,29362250,394704,946,49182,10,2.8,64,1.8,7606016,4.5,1440072,5.2,127377,47.6,24,2.6,1262,2.6,"Henry County, Alabama","County, Total Covered",390,3722,188459720,30448701,284302,974,50634,24,6.6,122,3.4,11404373,6.4,1086451,3.7,-110402,-28.0,28,3.0,1452,3.0
35,1069,"Houston County, Alabama","County, Total Covered",3072,47226,2179690889,380995779,3861322,888,46155,62,2.1,-1810,-3.7,36223135,1.7,-10217348,-2.6,-186316,-4.6,47,5.6,2443,5.6,"Houston County, Alabama","County, Total Covered",3213,48139,2338643858,399994499,6119689,934,48581,141,4.6,913,1.9,158952969,7.3,18998720,5.0,2258367,58.5,46,5.2,2426,5.3,"Houston County, Alabama","County, Total Covered",3375,49495,2505772069,424124015,5014282,974,50627,162,5.0,1356,2.8,167128211,7.1,24129516,6.0,-1105407,-18.1,40,4.3,2046,4.2
36,1071,"Jackson County, Alabama","County, Total Covered",1017,14600,587860994,116794056,1851265,774,40266,14,1.4,-996,-6.4,9698707,1.7,-6514989,-5.3,-113547,-5.8,61,8.6,3195,8.6,"Jackson County, Alabama","County, Total Covered",1062,15026,648606685,127408888,2550451,830,43165,45,4.4,426,2.9,60745691,10.3,10614832,9.1,699186,37.8,56,7.2,2899,7.2,"Jackson County, Alabama","County, Total Covered",1111,15231,686911416,131727011,1862119,867,45099,49,4.6,205,1.4,38304731,5.9,4318123,3.4,-688332,-27.0,37,4.5,1934,4.5
37,1073,"Jefferson County, Alabama","County, Total Covered",19488,337153,20463909788,2728419463,29044515,1167,60696,345,1.8,-17132,-4.8,120123046,0.6,-108766336,-3.8,-4484870,-13.4,63,5.7,3274,5.7,"Jefferson County, Alabama","County, Total Covered",20338,347199,21952903040,2930465063,44863251,1216,63229,850,4.4,10046,3.0,1488993252,7.3,202045600,7.4,15818736,54.5,49,4.2,2533,4.2,"Jefferson County, Alabama","County, Total Covered",21422,356742,23671449152,3053277784,36577858,1276,66355,1084,5.3,9543,2.7,1718546112,7.8,122812721,4.2,-8285393,-18.5,60,4.9,3126,4.9
38,1075,"Lamar County, Alabama","County, Total Covered",280,3321,141274940,25604516,303394,818,42537,0,0.0,-151,-4.3,-1676771,-1.2,-766326,-2.9,-8274,-2.7,26,3.3,1360,3.3,"Lamar County, Alabama","County, Total Covered",289,3324,144944622,26519507,400619,838,43601,9,3.2,3,0.1,3669682,2.6,914991,3.6,97225,32.0,20,2.4,1064,2.5,"Lamar County, Alabama","County, Total Covered",297,3341,155978134,27117398,344394,898,46692,8,2.8,17,0.5,11033512,7.6,597891,2.3,-56225,-14.0,60,7.2,3091,7.1
39,1077,"Lauderdale County, Alabama","County, Total Covered",2139,28295,1111204533,220568392,2531189,755,39272,9,0.4,-1420,-4.8,39293255,3.7,-5395408,-2.4,-143729,-5.4,61,8.8,3198,8.9,"Lauderdale County, Alabama","County, Total Covered",2182,28908,1181247272,234014684,3882201,786,40862,43,2.0,613,2.2,70042739,6.3,13446292,6.1,1351012,53.4,31,4.1,1590,4.0,"Lauderdale County, Alabama","County, Total Covered",2317,29630,1277578234,242801352,3244996,829,43118,135,6.2,722,2.5,96330962,8.2,8786668,3.8,-637205,-16.4,43,5.5,2256,5.5
